=~=~= PuTTY log (SYNTHETIC sample, not measured) =~=~=
========================================
 OUTSIDE-PAIR PHOTOTRANSISTOR SWEEP TEST
========================================
Enter distance in cm, then press Enter (e.g. 40):
# SWEEP START dist=20.00 cm
# DATA,dist_cm,servo_deg,rel_deg,sl_v,l_v,r_v,sr_v
DATA,20.00,58,-20,2.0899,0.2474,1.6576,1.3864
DATA,20.00,59,-19,2.1515,0.2836,1.7042,1.4550
DATA,20.00,60,-18,2.2160,0.3129,1.7451,1.5556
DATA,20.00,61,-17,2.2731,0.3423,1.7836,1.6202
DATA,20.00,62,-16,2.3176,0.3727,1.7963,1.6811
DATA,20.00,63,-15,2.3746,0.4141,1.8261,1.7399
DATA,20.00,64,-14,2.4200,0.4730,1.8303,1.8137
DATA,20.00,65,-13,2.4687,0.4978,1.8394,1.8890
DATA,20.00,66,-12,2.5104,0.5608,1.8275,1.9652
DATA,20.00,67,-11,2.5440,0.5988,1.8107,2.0152
DATA,20.00,68,-10,2.5568,0.6787,1.7868,2.0721
DATA,20.00,69,-9,2.5880,0.7363,1.7759,2.1418
DATA,20.00,70,-8,2.5962,0.7907,1.7508,2.2162
DATA,20.00,71,-7,2.6104,0.8535,1.7054,2.2737
DATA,20.00,72,-6,2.6273,0.8994,1.6614,2.3281
DATA,20.00,73,-5,2.6423,0.9906,1.6160,2.3738
DATA,20.00,74,-4,2.6212,1.0361,1.5578,2.4228
DATA,20.00,75,-3,2.6222,1.1032,1.5067,2.4598
DATA,20.00,76,-2,2.6041,1.1905,1.4497,2.5086
DATA,20.00,77,-1,2.5963,1.2499,1.3891,2.5242
DATA,20.00,78,0,2.5550,1.3273,1.3235,2.5674
DATA,20.00,79,1,2.5353,1.3941,1.2624,2.5806
DATA,20.00,80,2,2.5061,1.4580,1.1908,2.6033
DATA,20.00,81,3,2.4725,1.5051,1.1363,2.6237
DATA,20.00,82,4,2.4336,1.5702,1.0561,2.6356
DATA,20.00,83,5,2.3755,1.6193,1.0004,2.6211
DATA,20.00,84,6,2.3126,1.6723,0.9135,2.6374
DATA,20.00,85,7,2.2647,1.7121,0.8583,2.6246
DATA,20.00,86,8,2.2050,1.7514,0.7886,2.6054
DATA,20.00,87,9,2.1722,1.7736,0.7342,2.5858
DATA,20.00,88,10,2.0858,1.7975,0.6753,2.5620
DATA,20.00,89,11,2.0318,1.8241,0.5969,2.5327
DATA,20.00,90,12,1.9574,1.8095,0.5504,2.5018
DATA,20.00,91,13,1.8975,1.8260,0.4992,2.4641
DATA,20.00,92,14,1.8145,1.8163,0.4666,2.4279
DATA,20.00,93,15,1.7387,1.8129,0.4310,2.3870
DATA,20.00,94,16,1.6672,1.8038,0.3757,2.3282
DATA,20.00,95,17,1.6109,1.7812,0.3469,2.2689
DATA,20.00,96,18,1.5339,1.7361,0.3099,2.2185
DATA,20.00,97,19,1.4624,1.7040,0.2652,2.1549
DATA,20.00,98,20,1.4046,1.6668,0.2477,2.0825
DATA,20.00,99,21,1.3256,1.6162,0.2122,2.0334
DATA,20.00,100,22,1.2559,1.5690,0.2066,1.9614
DATA,20.00,101,23,1.1994,1.5138,0.1729,1.8915
DATA,20.00,102,24,1.1141,1.4437,0.1673,1.8248
DATA,20.00,103,25,1.0617,1.3873,0.1339,1.7520
DATA,20.00,104,26,1.0001,1.3069,0.1270,1.6711
DATA,20.00,105,27,0.9308,1.2667,0.1086,1.6057
DATA,20.00,106,28,0.8758,1.1849,0.0813,1.5342
DATA,20.00,107,29,0.8083,1.1121,0.0796,1.4597
DATA,20.00,108,30,0.7543,1.0516,0.0835,1.4067
DATA,20.00,109,31,0.7124,0.9745,0.0706,1.3163
DATA,20.00,110,32,0.6679,0.9192,0.0555,1.2505
DATA,20.00,111,33,0.6356,0.8496,0.0539,1.1810
DATA,20.00,112,34,0.5649,0.8081,0.0561,1.1112
DATA,20.00,113,35,0.5294,0.7385,0.0421,1.0546
DATA,20.00,114,36,0.4873,0.6506,0.0543,0.9912
DATA,20.00,115,37,0.4348,0.6179,0.0385,0.9450
DATA,20.00,116,38,0.4114,0.5499,0.0557,0.8721
DATA,20.00,117,39,0.3675,0.5087,0.0305,0.8091
DATA,20.00,118,40,0.3577,0.4647,0.0391,0.7763
DATA,20.00,119,41,0.3151,0.4253,0.0239,0.7215
DATA,20.00,120,42,0.2962,0.3761,0.0291,0.6602
DATA,20.00,121,43,0.2662,0.3530,0.0292,0.6029
DATA,20.00,122,44,0.2501,0.3017,0.0364,0.5667
DATA,20.00,123,45,0.2217,0.2762,0.0401,0.5266
DATA,20.00,124,46,0.2109,0.2499,0.0344,0.4901
DATA,20.00,125,47,0.1951,0.2189,0.0286,0.4482
DATA,20.00,126,48,0.1865,0.2016,0.0378,0.4185
DATA,20.00,127,49,0.1563,0.1758,0.0374,0.3850
DATA,20.00,128,50,0.1271,0.1479,0.0317,0.3410
DATA,20.00,129,51,0.1251,0.1228,0.0352,0.3146
DATA,20.00,130,52,0.1315,0.1371,0.0338,0.2895
DATA,20.00,131,53,0.1019,0.1043,0.0225,0.2665
DATA,20.00,132,54,0.1090,0.0983,0.0364,0.2451
DATA,20.00,133,55,0.0941,0.0919,0.0250,0.2266
DATA,20.00,134,56,0.0972,0.0795,0.0253,0.1828
DATA,20.00,135,57,0.0633,0.0638,0.0315,0.1855
DATA,20.00,136,58,0.0715,0.0607,0.0276,0.1827
DATA,20.00,137,59,0.0581,0.0579,0.0290,0.1493
DATA,20.00,138,60,0.0863,0.0659,0.0348,0.1517
# SWEEP END dist=20.00 cm
Enter distance in cm, then press Enter (e.g. 40):
# SWEEP START dist=40.00 cm
# DATA,dist_cm,servo_deg,rel_deg,sl_v,l_v,r_v,sr_v
DATA,40.00,18,-60,0.0669,0.0228,0.0337,0.0342
DATA,40.00,19,-59,0.0604,0.0204,0.0356,0.0394
DATA,40.00,20,-58,0.0683,0.0383,0.0419,0.0481
DATA,40.00,21,-57,0.0679,0.0233,0.0289,0.0435
DATA,40.00,22,-56,0.0761,0.0287,0.0363,0.0552
DATA,40.00,23,-55,0.0826,0.0204,0.0535,0.0540
DATA,40.00,24,-54,0.0795,0.0277,0.0517,0.0502
DATA,40.00,25,-53,0.0923,0.0042,0.0395,0.0439
DATA,40.00,26,-52,0.1012,0.0214,0.0354,0.0572
DATA,40.00,27,-51,0.1038,0.0187,0.0522,0.0444
DATA,40.00,28,-50,0.1241,0.0221,0.0628,0.0605
DATA,40.00,29,-49,0.1131,0.0285,0.0733,0.0684
DATA,40.00,30,-48,0.1203,0.0277,0.0719,0.0674
DATA,40.00,31,-47,0.1211,0.0460,0.0681,0.0768
DATA,40.00,32,-46,0.1518,0.0259,0.0861,0.0906
DATA,40.00,33,-45,0.1614,0.0286,0.0815,0.0865
DATA,40.00,34,-44,0.1644,0.0182,0.0912,0.0865
DATA,40.00,35,-43,0.1834,0.0272,0.1024,0.0953
DATA,40.00,36,-42,0.1895,0.0205,0.1072,0.0998
DATA,40.00,37,-41,0.2027,0.0318,0.1252,0.0925
DATA,40.00,38,-40,0.2143,0.0387,0.1312,0.1069
DATA,40.00,39,-39,0.2304,0.0355,0.1479,0.1278
DATA,40.00,40,-38,0.2418,0.0272,0.1591,0.1259
DATA,40.00,41,-37,0.2780,0.0204,0.1728,0.1397
DATA,40.00,42,-36,0.2615,0.0458,0.1861,0.1364
DATA,40.00,43,-35,0.2717,0.0514,0.2147,0.1550
DATA,40.00,44,-34,0.2935,0.0370,0.2251,0.1699
DATA,40.00,45,-33,0.3104,0.0293,0.2365,0.1653
DATA,40.00,46,-32,0.3326,0.0482,0.2406,0.1908
DATA,40.00,47,-31,0.3520,0.0355,0.2560,0.1989
DATA,40.00,48,-30,0.3691,0.0384,0.2702,0.2058
DATA,40.00,49,-29,0.3928,0.0514,0.3238,0.2266
DATA,40.00,50,-28,0.4095,0.0358,0.3278,0.2259
DATA,40.00,51,-27,0.4303,0.0341,0.3389,0.2387
DATA,40.00,52,-26,0.4564,0.0564,0.3457,0.2614
DATA,40.00,53,-25,0.4698,0.0600,0.3605,0.2786
DATA,40.00,54,-24,0.4674,0.0618,0.3897,0.2933
DATA,40.00,55,-23,0.4765,0.0698,0.4127,0.3054
DATA,40.00,56,-22,0.5194,0.0798,0.4006,0.3384
DATA,40.00,57,-21,0.5143,0.0848,0.4235,0.3406
DATA,40.00,58,-20,0.5457,0.0791,0.4383,0.3717
DATA,40.00,59,-19,0.5611,0.0974,0.4335,0.3948
DATA,40.00,60,-18,0.5937,0.1003,0.4653,0.4063
DATA,40.00,61,-17,0.5896,0.1035,0.4628,0.4250
DATA,40.00,62,-16,0.5996,0.1075,0.4875,0.4391
DATA,40.00,63,-15,0.6181,0.1325,0.4734,0.4481
DATA,40.00,64,-14,0.6298,0.1355,0.4824,0.4773
DATA,40.00,65,-13,0.6390,0.1505,0.4709,0.5028
DATA,40.00,66,-12,0.6430,0.1564,0.4741,0.5261
DATA,40.00,67,-11,0.6465,0.1637,0.4671,0.5255
DATA,40.00,68,-10,0.6660,0.1915,0.4753,0.5322
DATA,40.00,69,-9,0.6586,0.2044,0.4766,0.5622
DATA,40.00,70,-8,0.6657,0.2298,0.4538,0.5789
DATA,40.00,71,-7,0.6880,0.2424,0.4529,0.5883
DATA,40.00,72,-6,0.6760,0.2608,0.4349,0.5944
DATA,40.00,73,-5,0.6789,0.2630,0.4279,0.6324
DATA,40.00,74,-4,0.6865,0.2784,0.4237,0.6089
DATA,40.00,75,-3,0.6749,0.2928,0.4011,0.6343
DATA,40.00,76,-2,0.6822,0.3240,0.3770,0.6373
DATA,40.00,77,-1,0.6666,0.3592,0.3628,0.6512
DATA,40.00,78,0,0.6715,0.3593,0.3521,0.6660
DATA,40,78,0,0.55,GARB
DATA,40.00,79,1,0.6613,0.3635,0.3353,0.6704
DATA,40.00,80,2,0.6462,0.3920,0.3130,0.6683
DATA,40.00,81,3,0.6315,0.3911,0.3044,0.6835
DATA,40.00,82,4,0.6195,0.4028,0.2960,0.6843
DATA,40.00,83,5,0.6140,0.4329,0.2670,0.6852
DATA,40.00,84,6,0.6001,0.4327,0.2507,0.6759
DATA,40.00,85,7,0.5869,0.4520,0.2184,0.6857
DATA,40.00,86,8,0.5837,0.4698,0.2140,0.6793
DATA,40.00,87,9,0.5585,0.4694,0.1937,0.6894
DATA,40.00,88,10,0.5543,0.4796,0.1870,0.6719
DATA,40.00,89,11,0.5247,0.4637,0.1803,0.6655
DATA,40.00,90,12,0.5200,0.4844,0.1749,0.6483
DATA,40.00,91,13,0.4909,0.4971,0.1646,0.6281
DATA,40.00,92,14,0.4791,0.4835,0.1374,0.6249
DATA,40.00,93,15,0.4678,0.4642,0.1248,0.6101
DATA,40.00,94,16,0.4388,0.4705,0.1236,0.5991
DATA,40.00,95,17,0.4207,0.4622,0.1115,0.5946
DATA,40.00,96,18,0.4224,0.4616,0.1050,0.5714
DATA,40.00,97,19,0.3961,0.4527,0.0971,0.5537
DATA,40.00,98,20,0.3673,0.4422,0.0718,0.5419
DATA,40.00,99,21,0.3585,0.4242,0.0814,0.5277
DATA,40.00,100,22,0.3332,0.4094,0.0704,0.5155
DATA,40.00,101,23,0.3248,0.3954,0.0597,0.4875
DATA,40.00,102,24,0.3140,0.3921,0.0555,0.4802
DATA,40.00,103,25,0.2737,0.3549,0.0671,0.4606
DATA,40.00,104,26,0.2791,0.3518,0.0466,0.4527
DATA,40.00,105,27,0.2673,0.3390,0.0399,0.4225
DATA,40.00,106,28,0.2414,0.3148,0.0486,0.4053
DATA,40.00,107,29,0.2409,0.3068,0.0604,0.3791
DATA,40.00,108,30,0.2146,0.2853,0.0424,0.3597
DATA,40.00,109,31,0.1905,0.2615,0.0427,0.3558
DATA,40.00,110,32,0.1705,0.2536,0.0311,0.3341
DATA,40.00,111,33,0.1736,0.2339,0.0506,0.3232
DATA,40.00,112,34,0.1708,0.2169,0.0370,0.2955
DATA,40.00,113,35,0.1570,0.1992,0.0392,0.3018
DATA,40.00,114,36,0.1478,0.1906,0.0265,0.2718
DATA,40.00,115,37,0.1305,0.1613,0.0402,0.2641
DATA,40.00,116,38,0.1274,0.1596,0.0359,0.2392
DATA,40.00,117,39,0.1049,0.1458,0.0230,0.2256
DATA,40.00,118,40,0.1042,0.1311,0.0322,0.2189
DATA,40.00,119,41,0.0965,0.1325,0.0279,0.2048
DATA,40.00,120,42,0.1005,0.1112,0.0321,0.1791
DATA,40.00,121,43,0.0900,0.1119,0.0290,0.1640
DATA,40.00,122,44,0.0752,0.1067,0.0293,0.1563
DATA,40.00,123,45,0.0790,0.0896,0.0224,0.1431
DATA,40.00,124,46,0.0687,0.0859,0.0279,0.1450
DATA,40.00,125,47,0.0645,0.0822,0.0365,0.1318
DATA,40.00,126,48,0.0726,0.0705,0.0443,0.1233
DATA,40.00,127,49,0.0629,0.0701,0.0210,0.1071
DATA,40.00,128,50,0.0617,0.0509,0.0492,0.1165
DATA,40.00,129,51,0.0625,0.0657,0.0424,0.1066
DATA,40.00,130,52,0.0541,0.0452,0.0315,0.0956
DATA,40.00,131,53,0.0545,0.0351,0.0277,0.0983
DATA,40.00,132,54,0.0533,0.0580,0.0245,0.0774
DATA,40.00,133,55,0.0551,0.0439,0.0367,0.0824
DATA,40.00,134,56,0.0477,0.0457,0.0245,0.0770
DATA,40.00,135,57,0.0536,0.0374,0.0263,0.0726
DATA,40.00,136,58,0.0410,0.0305,0.0371,0.0599
DATA,40.00,137,59,0.0391,0.0126,0.0335,0.0646
DATA,40.00,138,60,0.0519,0.0410,0.0372,0.0544
# SWEEP END dist=40.00 cm
Enter distance in cm, then press Enter (e.g. 40):
# SWEEP START dist=60.00 cm
# DATA,dist_cm,servo_deg,rel_deg,sl_v,l_v,r_v,sr_v
DATA,60.00,18,-60,0.0467,0.0351,0.0429,0.0400
DATA,60.00,19,-59,0.0410,0.0183,0.0382,0.0333
DATA,60.00,20,-58,0.0418,0.0254,0.0315,0.0392
DATA,60.00,21,-57,0.0541,0.0154,0.0393,0.0278
DATA,60.00,22,-56,0.0443,0.0264,0.0334,0.0231
DATA,60.00,23,-55,0.0613,0.0376,0.0221,0.0431
DATA,60.00,24,-54,0.0605,0.0358,0.0187,0.0475
DATA,60.00,25,-53,0.0590,0.0483,0.0251,0.0520
DATA,60.00,26,-52,0.0595,0.0314,0.0384,0.0278
DATA,60.00,27,-51,0.0654,0.0128,0.0370,0.0306
DATA,60.00,28,-50,0.0939,0.0436,0.0380,0.0309
DATA,60.00,29,-49,0.0682,0.0404,0.0462,0.0439
DATA,60.00,30,-48,0.0603,0.0255,0.0430,0.0409
DATA,60.00,31,-47,0.0920,0.0320,0.0459,0.0582
DATA,60.00,32,-46,0.0858,0.0365,0.0587,0.0380
DATA,60.00,33,-45,0.0801,0.0334,0.0633,0.0379
DATA,60.00,34,-44,0.1110,0.0359,0.0801,0.0558
DATA,60.00,35,-43,0.0994,0.0295,0.0669,0.0663
DATA,60.00,36,-42,0.1026,0.0302,0.0692,0.0531
DATA,60.00,37,-41,0.0995,0.0314,0.0687,0.0523
DATA,60.00,38,-40,0.1030,0.0245,0.0766,0.0645
DATA,60.00,39,-39,0.1034,0.0424,0.0830,0.0560
DATA,60.00,40,-38,0.1204,0.0313,0.0750,0.0729
DATA,60.00,41,-37,0.1219,0.0370,0.0929,0.0833
DATA,60.00,42,-36,0.1422,0.0250,0.1072,0.0826
DATA,60.00,43,-35,0.1415,0.0236,0.1031,0.0700
DATA,60.00,44,-34,0.1653,0.0319,0.1185,0.0857
DATA,60.00,45,-33,0.1706,0.0312,0.1295,0.0926
DATA,60.00,46,-32,0.1674,0.0434,0.1374,0.1147
DATA,60.00,47,-31,0.1714,0.0394,0.1424,0.1131
DATA,60.00,48,-30,0.1907,0.0397,0.1257,0.1110
DATA,60.00,49,-29,0.1802,0.0248,0.1468,0.1280
DATA,60.00,50,-28,0.2027,0.0298,0.1661,0.1154
DATA,60.00,51,-27,0.1999,0.0404,0.1695,0.1275
DATA,60.00,52,-26,0.2100,0.0375,0.1738,0.1483
DATA,60.00,53,-25,0.2157,0.0522,0.1845,0.1560
DATA,60.00,54,-24,0.2336,0.0545,0.1969,0.1570
DATA,60.00,55,-23,0.2305,0.0413,0.1957,0.1625
DATA,60.00,56,-22,0.2358,0.0553,0.1947,0.1614
DATA,60.00,57,-21,0.2562,0.0621,0.2051,0.1797
DATA,60.00,58,-20,0.2556,0.0564,0.2101,0.1748
DATA,60.00,59,-19,0.2688,0.0701,0.2236,0.1939
DATA,60.00,60,-18,0.2698,0.0691,0.2238,0.1995
DATA,60.00,61,-17,0.2811,0.0662,0.2282,0.2143
DATA,60.00,62,-16,0.2644,0.0757,0.2277,0.2098
DATA,60.00,63,-15,0.2943,0.0748,0.2255,0.2262
DATA,60.00,64,-14,0.3105,0.0748,0.2301,0.2353
DATA,60.00,65,-13,0.3087,0.0863,0.2317,0.2295
DATA,60.00,66,-12,0.3119,0.0893,0.2184,0.2456
DATA,60.00,67,-11,0.3064,0.0920,0.2299,0.2645
DATA,60.00,68,-10,0.3130,0.1153,0.2339,0.2599
DATA,60.00,69,-9,0.3161,0.1095,0.2230,0.2635
DATA,60.00,70,-8,0.3170,0.1364,0.2330,0.2763
DATA,60.00,71,-7,0.3111,0.1192,0.2209,0.2768
DATA,60.00,72,-6,0.3158,0.1333,0.2084,0.2885
DATA,60.00,73,-5,0.3175,0.1489,0.2053,0.2895
DATA,60.00,74,-4,0.3147,0.1656,0.1985,0.2956
DATA,60.00,75,-3,0.3244,0.1537,0.1964,0.3041
DATA,60.00,76,-2,0.3365,0.1526,0.1939,0.3155
DATA,60.00,77,-1,0.3036,0.1728,0.1786,0.3120
DATA,60.00,78,0,0.3126,0.1632,0.1774,0.3247
DATA,60.00,79,1,0.2968,0.1788,0.1804,0.2979
DATA,60.00,80,2,0.3150,0.1901,0.1663,0.3126
DATA,60.00,81,3,0.3117,0.2064,0.1579,0.3196
DATA,60.00,82,4,0.2824,0.2122,0.1372,0.3119
DATA,60.00,83,5,0.3061,0.2063,0.1319,0.3087
DATA,60.00,84,6,0.2763,0.2191,0.1308,0.3235
DATA,60.00,85,7,0.2808,0.2139,0.1208,0.3226
DATA,60.00,86,8,0.2814,0.2258,0.1015,0.3185
DATA,60.00,87,9,0.2671,0.2392,0.0956,0.3173
DATA,60.00,88,10,0.2773,0.2278,0.1094,0.3046
DATA,60.00,89,11,0.2738,0.2260,0.0889,0.3044
DATA,60.00,90,12,0.2454,0.2256,0.1056,0.3038
DATA,60.00,91,13,0.2215,0.2357,0.0656,0.2949
DATA,60.00,92,14,0.2260,0.2403,0.0817,0.2984
DATA,60.00,93,15,0.2143,0.2454,0.0733,0.3095
DATA,60.00,94,16,0.2071,0.2269,0.0626,0.2811
DATA,60.00,95,17,0.1962,0.2252,0.0677,0.2841
DATA,60.00,96,18,0.1979,0.2154,0.0543,0.2643
DATA,60.00,97,19,0.2062,0.2293,0.0639,0.2767
DATA,60.00,98,20,0.1757,0.2111,0.0544,0.2512
DATA,60.00,99,21,0.1715,0.2027,0.0378,0.2534
DATA,60.00,100,22,0.1754,0.2182,0.0289,0.2394
DATA,60.00,101,23,0.1682,0.2010,0.0436,0.2408
DATA,60.00,102,24,0.1551,0.1936,0.0530,0.2291
DATA,60.00,103,25,0.1522,0.1729,0.0434,0.2208
DATA,60.00,104,26,0.1440,0.1772,0.0407,0.2368
DATA,60.00,105,27,0.1272,0.1705,0.0443,0.2002
DATA,60.00,106,28,0.1272,0.1501,0.0264,0.1969
DATA,60.00,107,29,0.1151,0.1495,0.0478,0.2108
DATA,60.00,108,30,0.1043,0.1405,0.0283,0.1723
DATA,60.00,109,31,0.1108,0.1404,0.0349,0.1781
DATA,60.00,110,32,0.1008,0.1208,0.0309,0.1574
DATA,60.00,111,33,0.0935,0.1303,0.0344,0.1668
DATA,60.00,112,34,0.0924,0.1288,0.0171,0.1538
DATA,60.00,113,35,0.0932,0.1053,0.0444,0.1492
DATA,60.00,114,36,0.0840,0.1011,0.0362,0.1348
DATA,60.00,115,37,0.0783,0.0990,0.0476,0.1323
DATA,60.00,116,38,0.0750,0.0986,0.0426,0.1356
DATA,60.00,117,39,0.0695,0.0876,0.0311,0.0993
DATA,60.00,118,40,0.0595,0.0813,0.0233,0.0984
DATA,60.00,119,41,0.0688,0.0694,0.0168,0.1091
DATA,60.00,120,42,0.0708,0.0668,0.0307,0.0950
DATA,60.00,121,43,0.0525,0.0694,0.0322,0.0926
DATA,60.00,122,44,0.0696,0.0741,0.0387,0.0780
DATA,60.00,123,45,0.0504,0.0616,0.0227,0.0781
DATA,60.00,124,46,0.0477,0.0442,0.0366,0.0776
DATA,60.00,125,47,0.0405,0.0544,0.0307,0.0709
DATA,60.00,126,48,0.0395,0.0475,0.0240,0.0658
DATA,60.00,127,49,0.0366,0.0440,0.0363,0.0657
DATA,60.00,128,50,0.0455,0.0420,0.0322,0.0581
DATA,60.00,129,51,0.0541,0.0349,0.0282,0.0732
DATA,60.00,130,52,0.0443,0.0377,0.0451,0.0516
DATA,60.00,131,53,0.0458,0.0325,0.0349,0.0713
DATA,60.00,132,54,0.0487,0.0346,0.0291,0.0512
DATA,60.00,133,55,0.0170,0.0373,0.0322,0.0402
DATA,60.00,134,56,0.0348,0.0368,0.0307,0.0447
DATA,60.00,135,57,0.0383,0.0328,0.0314,0.0552
DATA,60.00,136,58,0.0405,0.0326,0.0336,0.0543
DATA,60.00,137,59,0.0238,0.0335,0.0252,0.0455
DATA,60.00,138,60,0.0256,0.0363,0.0236,0.0450
# SWEEP END dist=60.00 cm
Enter distance in cm, then press Enter (e.g. 40):
# SWEEP START dist=80.00 cm
# DATA,dist_cm,servo_deg,rel_deg,sl_v,l_v,r_v,sr_v
DATA,80.00,18,-60,0.0400,0.0335,0.0331,0.0318
DATA,80.00,19,-59,0.0531,0.0282,0.0306,0.0345
DATA,80.00,20,-58,0.0365,0.0234,0.0393,0.0369
DATA,80.00,21,-57,0.0318,0.0234,0.0297,0.0385
DATA,80.00,22,-56,0.0392,0.0340,0.0264,0.0389
DATA,80.00,23,-55,0.0384,0.0485,0.0358,0.0394
DATA,80.00,24,-54,0.0410,0.0237,0.0379,0.0320
DATA,80.00,25,-53,0.0488,0.0344,0.0332,0.0381
DATA,80.00,26,-52,0.0455,0.0256,0.0421,0.0176
DATA,80.00,27,-51,0.0435,0.0459,0.0246,0.0270
DATA,80.00,28,-50,0.0465,0.0344,0.0292,0.0468
DATA,80.00,29,-49,0.0414,0.0290,0.0144,0.0327
DATA,80.00,30,-48,0.0472,0.0350,0.0445,0.0415
DATA,80.00,31,-47,0.0450,0.0301,0.0338,0.0520
DATA,80.00,32,-46,0.0545,0.0390,0.0414,0.0340
DATA,80.00,33,-45,0.0524,0.0287,0.0533,0.0346
DATA,80.00,34,-44,0.0581,0.0212,0.0476,0.0397
DATA,80.00,35,-43,0.0641,0.0322,0.0459,0.0486
DATA,80.00,36,-42,0.0599,0.0428,0.0450,0.0449
DATA,80.00,37,-41,0.0724,0.0208,0.0524,0.0404
DATA,80.00,38,-40,0.0786,0.0285,0.0619,0.0375
DATA,80.00,39,-39,0.0715,0.0386,0.0479,0.0490
DATA,80.00,40,-38,0.0917,0.0153,0.0626,0.0523
DATA,80.00,41,-37,0.0737,0.0359,0.0728,0.0520
DATA,80.00,42,-36,0.0871,0.0371,0.0587,0.0565
DATA,80.00,43,-35,0.0823,0.0330,0.0791,0.0524
DATA,80.00,44,-34,0.0954,0.0253,0.0830,0.0682
DATA,80.00,45,-33,0.0917,0.0317,0.0744,0.0492
DATA,80.00,46,-32,0.1019,0.0329,0.0735,0.0707
DATA,80.00,47,-31,0.1049,0.0400,0.0932,0.0780
DATA,80.00,48,-30,0.1057,0.0383,0.1004,0.0691
DATA,80.00,49,-29,0.1031,0.0308,0.1029,0.0788
DATA,80.00,50,-28,0.1286,0.0472,0.1086,0.0851
DATA,80.00,51,-27,0.1446,0.0345,0.0973,0.0815
DATA,80.00,52,-26,0.1508,0.0293,0.1155,0.0901
DATA,80.00,53,-25,0.1336,0.0332,0.1103,0.0974
DATA,80.00,54,-24,0.1415,0.0446,0.1143,0.0907
DATA,80.00,55,-23,0.1426,0.0405,0.1101,0.1090
DATA,80.00,56,-22,0.1512,0.0474,0.1348,0.1153
DATA,80.00,57,-21,0.1474,0.0423,0.1307,0.1134
DATA,80.00,58,-20,0.1434,0.0633,0.1403,0.1153
DATA,80.00,59,-19,0.1624,0.0319,0.1469,0.1103
DATA,80.00,60,-18,0.1567,0.0439,0.1280,0.1280
DATA,80.00,61,-17,0.1548,0.0487,0.1442,0.1188
DATA,80.00,62,-16,0.1924,0.0525,0.1404,0.1458
DATA,80.00,63,-15,0.1747,0.0660,0.1489,0.1417
DATA,80.00,64,-14,0.1827,0.0588,0.1511,0.1440
